param T := 10;
param N := 7;
param Q := 27;
param R := 12;
param stock_ini := 1 6, 2 8, 3 6, 4 6, 5 4, 6 5, 7 8, 8 6, 9 5, 10 5, 11 5, 12 7;
param c := 1 1, 2 2, 3 2, 4 2, 5 4, 6 1, 7 3, 8 3, 9 3, 10 2, 11 2, 12 3;
param d : 1 2 3 4 5 6 7 8 9 10:=
1 4 5 2 5 8 4 4 1 0 7
2 3 1 3 5 8 0 0 1 2 1
3 4 2 2 4 6 2 1 3 3 7
4 1 6 1 8 1 2 1 3 3 2
5 4 1 2 6 1 2 5 5 5 0
6 0 2 2 3 3 1 3 2 3 2
7 2 2 2 2 7 1 0 0 0 1
8 2 1 2 1 0 3 1 1 3 1
9 6 4 1 8 1 1 0 1 1 2
10 5 1 2 3 4 0 5 1 2 5
11 3 2 0 2 2 6 6 7 1 4
12 2 1 3 4 3 3 2 5 7 3;
